refno,state,priority,impact,urgency,prev_state,ka_ref,closure_code,class
INC0002433989,0.99,0.499,0.398,0.398,Solved Confirmed, KB30304,Suggested SS/FLF, General Error
INC0002437562,0.99,0.499,0.398,0.398,Solved Confirmed,?, Cancelled, General Error
INC0002444158,0.99,0.499,0.398,0.398,Solved Confirmed, KB96726,Troubleshooting Fix, General Error
INC0002469141,0.99,0.499,0.398,0.398,Solved Confirmed, KB31179,Troubleshooting Fix, General Error
INC0002477634,0.99,0.499,0.398,0.398,Solved Confirmed,?, Cancelled, General Error
INC0002482845,0.99,0.499,0.398,0.398,Solved Confirmed,?, User Error, General Error
INC0002491675,0.99,0.499,0.398,0.398,Solved Confirmed, KB31179,Troubleshooting Fix, General Error
INC0002553225,0.99,0.499,0.398,0.398,Solved Confirmed, KB48163, User Error, Access/Authentication
INC0002559998,0.99,0.499,0.398,0.398,Solved Confirmed,?, Cancelled, General Error
INC0002562748,0.99,0.499,0.398,0.398,Solved Confirmed, KB96726,Troubleshooting Fix,Configuration Issue
INC0002569105,0.99,0.499,0.398,0.398,Solved Confirmed,?,Suggested SS/FLF, General Error
INC0002587147,0.99,0.499,0.398,0.398,Solved Confirmed,?,Suggested SS/FLF, General Error
INC0002587161,0.99,0.499,0.398,0.398,Solved Confirmed,?, No Fault Found, General Error
INC0002594044,0.99,0.499,0.398,0.398,Solved Confirmed, KB31179,Troubleshooting Fix, General Error
INC0002622351,0.99,0.499,0.398,0.398,Solved Confirmed, KB27020,Suggested SS/FLF, General Error
INC0002623030,0.99,0.499,0.398,0.398,Solved Confirmed,?, Cancelled, General Error
INC0002629396,0.99,0.499,0.398,0.99,Solved Confirmed,?,Troubleshooting Fix, General Error
INC0002634481,0.99,0.499,0.398,0.398,Solved Confirmed,?, Cancelled, General Error
INC0002646116,0.99,0.499,0.398,0.8,Solved Confirmed, KB0183783,Troubleshooting Fix, Batch Issue
INC0002647090,0.99,0.499,0.398,0.398,Solved Confirmed, KB0183838,Troubleshooting Fix,Configuration Issue
INC0002667572,0.99,0.499,0.398,0.398,Solved Confirmed,?,Troubleshooting Fix, General Error
INC0002680607,0.99,0.499,0.398,0.398,Solved Confirmed,?,Troubleshooting Fix,Configuration Issue
INC0002682990,0.99,0.499,0.398,0.8,Solved Confirmed,?,Troubleshooting Fix, Batch Issue
INC0002683493,0.99,0.499,0.398,0.398,Solved Confirmed,?, Cancelled, Batch Issue
INC0002684280,0.99,0.499,0.398,0.398,Solved Confirmed, KB0172573,Troubleshooting Fix,Configuration Issue
INC0002688492,0.99,0.499,0.398,0.398,Solved Confirmed,?,Suggested SS/FLF, General Error
INC0002709212,0.99,0.499,0.398,0.398,Solved Confirmed,?, External, General Error
INC0002713217,0.99,0.499,0.398,0.398,Solved Confirmed,?, Cancelled, General Error
INC0002718004,0.99,0.499,0.398,0.398,Solved Confirmed,?, Cancelled, General Error
INC0002738851,0.99,0.499,0.398,0.398,Solved Confirmed, KB45819,Configuration,Configuration Issue
INC0002760195,0.99,0.499,0.398,0.8,Solved Confirmed, KB86690,Troubleshooting Fix, Performance
INC0002762477,0.99,0.499,0.398,0.398,Solved Confirmed, KB86690,Troubleshooting Fix, Performance
INC0002771936,0.99,0.499,0.398,0.398,Solved Confirmed, KB2978 Troubleshooting Fix,Configuration Issue, Performance
INC0002783450,0.99,0.499,0.398,0.398,Solved Confirmed,?,Suggested SS/FLF, General Error
INC0002790266,0.99,0.499,0.398,0.398,Solved Confirmed,?,Suggested SS/FLF,Configuration Issue
INC0002796004,0.99,0.499,0.398,0.398,Solved Confirmed,?,Configuration, General Error
INC0002815208,0.99,0.499,0.398,0.398,Solved Confirmed,?, Data, Batch Issue
INC0002817018,0.99,0.499,0.398,0.398,Solved Confirmed, KB27390, Data, Data Issue
INC0002831437,0.99,0.499,0.398,0.398,Solved Proposed,?, Data, General Error
INC0002878159,0.99,0.499,0.398,0.398,Solved Confirmed,?,Troubleshooting Fix,Configuration Issue
INC0002883569,0.99,0.499,0.398,0.398,Solved Confirmed,?,Suggested SS/FLF, General Error
INC0002895658,0.99,0.499,0.398,0.398,Solved Confirmed, KB48163, User Error, Access/Authentication
INC0002940352,0.99,0.499,0.398,0.398,Solved Confirmed,?,Suggested SS/FLF,Configuration Issue
INC0002971344,0.99,0.499,0.398,0.398,Solved Confirmed, KB3078 Troubleshooting Fix,Configuration Issue,Configuration Issue
INC0002974109,0.99,0.249,0.2,0.6,Solved Confirmed, KB36123,Troubleshooting Fix, Unavailable
INC0003015401,0.99,0.499,0.398,0.398,Solved Confirmed,?, Cancelled, Access/Authentication
INC0003030967,0.99,0.499,0.398,0.398,Solved Confirmed,?, Cancelled, General Error
INC0003045471,0.99,0.499,0.398,0.398,Solved Confirmed, KB23682, No Fault Found, Performance
INC0003065702,0.99,0.499,0.398,0.398,Solved Confirmed, KB40874,Suggested SS/FLF,Configuration Issue
INC0003091074,0.99,0.499,0.398,0.398,Solved Confirmed, KB96726,Troubleshooting Fix,Configuration Issue
INC0003154842,0.99,0.499,0.398,0.398,Solved Confirmed, KB0168455,Suggested SS/FLF, General Error
INC0003199190,0.99,0.499,0.398,0.398,Solved Proposed,?, External, Batch Issue
INC0003212146,0.99,0.499,0.398,0.398,Solved Confirmed, KB23674,Troubleshooting Fix, General Error
INC0003212682,0.99,0.499,0.398,0.398,Solved Confirmed, KB23674,Troubleshooting Fix, General Error
INC0003228527,0.99,0.499,0.398,0.398,0.99, KB30350,Suggested SS/FLF,Configuration Issue
INC0003231547,0.99,0.499,0.398,0.398,Solved Proposed,?, Capacity, Capacity Issue
INC0003242281,0.99,0.499,0.398,0.398,Solved Confirmed, KB27020,Suggested SS/FLF, General Error
INC0003251477,0.99,0.499,0.398,0.398,Solved Confirmed,?, Cancelled, General Error
INC0003254841,0.99,0.499,0.398,0.398,0.99,?, External, Batch Issue
INC0003284439,0.99,0.499,0.398,0.398,0.99, KB23630,Troubleshooting Fix, General Error
INC0003292210,0.99,0.499,0.398,0.398,0.99,?,Troubleshooting Fix,Configuration Issue
INC0003333442,0.99,0.499,0.398,0.398,Solved Proposed,?,Troubleshooting Fix, Performance
INC0003353998,0.99,0.499,0.398,0.398,Solved Proposed, KB0177938,Troubleshooting Fix, Performance
INC0003355073,0.99,0.499,0.398,0.398, Awaiting Assignment,?, Cancelled, General Error
