Incident CI Primary,Incident State,Incident Priority,Incident Impact,Incident Urgency,Incident Previous State,Incident Knowledge Article Reference,Incident Closure Code,Incident Symptom Code
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, , Suggested SS/FLF, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, , Suggested SS/FLF, Configuration Issue
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, , Configuration, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, , Data, Batch Issue
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB27390, Data, Data Issue
 1, 0.99, 0.499, 0.398, 0.398, Solved Proposed, , Data, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, , Troubleshooting Fix, Configuration Issue
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, , Suggested SS/FLF, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB48163, User Error, Access/Authentication
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, , Suggested SS/FLF, Configuration Issue
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB30781, Troubleshooting Fix, Configuration Issue
 1, 0.99, 0.249, 0.20, 0.60, Solved Confirmed, KB36123, Troubleshooting Fix, Unavailable
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, , Cancelled, Access/Authentication
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, , Cancelled, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB23682, No Fault Found, Performance
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB40874, Suggested SS/FLF, Configuration Issue
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB96726, Troubleshooting Fix, Configuration Issue
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB0168455, Suggested SS/FLF, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Proposed, , External, Batch Issue
